event|szenerie|beschriftung_hintergrund_1|beschriftung_hintergrund_2|beschriftung_hintergrund_3|vordergrund|mittelgrund|hintergrund|raum_location
High School Team Manager|high school gym sideline during volleyball practice, ball cart, water coolers, stat clipboard|gym wall banner with print "LADY KNIGHTS VOLLEYBALL" and subtitle "District Champions 2024"|bench-side sign with block print "HOME"|record board with vinyl letter print "SEASON RECORD 12-4"|subject.|team bench with folded towels, water cooler with stacked paper cups, rolling ball cart full of volleyballs.|net stretched across the court, banners of past championship seasons high on the wall.|high school gymnasium during afternoon practice.
Church Youth Group Night|church youth room with thrifted sofas, string lights, small stage with a band corner and games area|black fabric backdrop with neon-style print "YOUTH NIGHT" and subtitle "Fridays 7PM"|foam-board sign with handwritten script print "WELCOME HOME"|a-frame chalkboard with chalk print "TONIGHT: GAMES + WORSHIP + TACOS"|subject.|circle of mismatched thrifted sofas and bean bags, foosball table with worn handles.|small carpeted stage with a drum kit, guitar stands and warm string lights across the ceiling.|converted church hall used as a youth room, cozy evening lighting.
Vacation Bible School — Crew Helper|church fellowship hall decorated in an ocean theme, craft stations with paper fish, registration table with balloons|colorful paper-letter banner with print "VACATION BIBLE SCHOOL" and subtitle "Ocean Adventure Week"|craft-table tent sign with print "STATION 2: CRAFTS"|balloon-decorated sign with print "REGISTRATION" and a painted arrow|subject.|long craft tables with construction paper, glue sticks, googly eyes and half-finished paper fish.|fellowship hall wall covered in blue streamer waves, cardboard submarine cutout and hanging paper jellyfish.|church fellowship hall decorated for a summer kids program, cheerful daylight.
Church Summer Camp / Retreat|outdoor camp amphitheater with log benches and a fire ring, wooded pennsylvania hillside behind|routed wooden camp sign with painted print "CAMP HILLTOP" and subtitle "Est. 1962"|vinyl banner between two posts with print "SUMMER CAMP 2025" and subtitle "Week 3"|standing schedule board with chalk print "CAMPFIRE 8PM - BRING A FRIEND"|subject.|rows of split-log benches around a stone fire ring, an acoustic guitar leaning against a bench.|wooded pennsylvania hillside with tall oaks, a timber pavilion roof visible between trunks.|outdoor camp amphitheater in the berks county hills, late golden afternoon.
Camp Counselor in Training (CIT)|summer camp pavilion during a leadership training session, clipboards, rope coils and team-building props|pavilion beam banner with print "COUNSELORS IN TRAINING" and subtitle "Leadership Track"|clipboard station sign with print "CIT CHECK-IN"|rustic stacked arrow signs with carved print "LAKE - CRAFTS - MESS HALL"|subject.|picnic tables with clipboards and name-tag supplies, coiled climbing ropes and a first-aid kit crate.|open pavilion posts framing a mowed activity field with a low ropes course element.|open-air timber pavilion at a traditional summer camp, bright midday.
Camp Group Leader — Arts & Crafts|arts and crafts pavilion with paint-splattered picnic tables, drying racks with camper artwork|painted plywood sign with brush print "ARTS & CRAFTS" and a rainbow handprint border|group flag on a pole with felt print "CABIN 7 - TIMBERWOLVES"|daily activity board with marker print "TODAY: CANOE RACES 3PM"|subject.|paint-splattered picnic tables with brush jars, lanyard string bins and drying racks of camper paintings.|screened pavilion walls looking onto a green field, camp cabins in the distance.|screened arts-and-crafts pavilion at a berks county summer camp.
Camp First Day — Icebreaker Games|open camp field with a rainbow parachute game, cones and a welcome table with name-tag supplies|folding a-frame sign with print "WELCOME CAMPERS!" and subtitle "Day One"|welcome-table sign with print "GRAB A NAME TAG" beside marker cups|rope-hung banner with print "SUMMER KICKOFF 2025"|subject.|rainbow play parachute spread on the grass, scattered cones and a bin of soft dodgeballs.|tree-lined field edge with a flagpole and a distant dining hall porch.|open grass activity field at summer camp, sunny first morning.
Food Bank Volunteer Shift|food bank warehouse with pallet racks, sorting conveyor and banana boxes of canned goods|warehouse banner with green print "HELPING HARVEST FRESH FOOD BANK" and subtitle "Serving Berks and Schuylkill"|sorting station sign with print "CANNED GOODS" zip-tied to a rack|safety poster with bold print "LIFT WITH YOUR LEGS"|subject.|sorting table with banana boxes, canned goods in rows and a hanging scale, volunteers working further down.|tall pallet racking stacked with shrink-wrapped food pallets, a parked pallet jack.|working food bank warehouse, cool industrial lighting.
Animal Shelter Volunteer|animal shelter kennel corridor with clean runs, leashes on wall hooks and adoption cards on each gate|lobby wall sign with paw-print logo and print "ANIMAL RESCUE LEAGUE OF BERKS COUNTY"|kennel gate card with print "ADOPT ME - BUDDY, 2 YRS" and a photo corner|donation board with print "WISH LIST: TOWELS - TOYS - TREATS"|subject.|row of clean kennel runs with raised cots, a caddy of cleaning spray and folded towels on a cart.|corridor ending in a glass adoption meet-and-greet room, leash rack on the wall.|kennel corridor of a county animal shelter, bright and clean.
Community Festival Volunteer (Fall Fest)|closed-off small-town avenue with vendor tents, hay bales, pumpkin displays and a live music stage|street-spanning banner with print "WEST READING FALL FEST" and subtitle "Penn Avenue - October 2024"|vendor tent header with print "INFO BOOTH"|sandwich board with chalk print "LIVE MUSIC 2PM - MAIN STAGE"|subject.|info booth folding table with event maps, wristband rolls and a cash box, hay bales stacked beside.|avenue lined with white vendor tents, string-light crossings and a small stage in the distance.|pedestrianized main-street festival block on a crisp fall afternoon.
Charity 5K / Fundraising Event|riverfront park staging area with inflatable start arch, registration tables sorted by letter, sponsor backdrop|inflatable arch with print "CHARITY 5K" and subtitle "Reading Riverfront 2025"|check-in table banner with print "REGISTRATION A-M"|step-and-repeat sponsor backdrop with repeating print "TOWER HEALTH"|subject.|registration tables with bib numbers in labeled envelopes, safety-pin cups and event t-shirt stacks.|inflatable start arch over a paved river trail, runners stretching, morning mist over the water.|riverfront park staging area on race morning.
River Cleanup Day (Volunteer)|riverside trailhead with a volunteer check-in tent, trash grabbers, gloves and stacked contractor bags|pop-up tent sign with print "SCHUYLKILL RIVER CLEANUP" and subtitle "Volunteer Check-In"|pickup truck door decal with print "BERKS PARKS AND RECREATION"|a-frame sign with print "GLOVES + BAGS HERE" and a hand-drawn smiley|subject.|folding table under a pop-up tent with boxes of work gloves, trash grabbers leaning in a barrel.|gravel trailhead opening to a treed riverbank, parked county pickup with an open tailgate.|riverside trailhead staging area on a bright volunteer morning.
Scouts BSA Troop Meeting|scout hall with folding chairs in a horseshoe, patrol flags, knot boards and an american flag on a stand|embroidered troop flag on a pole with print "TROOP 424 - READING, PA"|wall chart with hand-lettered print "THE SCOUT LAW" and twelve listed words|corner sign with print "EAGLE PATROL" above a patrol photo board|subject.|folding chairs arranged in a horseshoe, a table with knot-tying boards and coiled practice ropes.|wood-paneled hall wall with merit badge posters, an american flag on a floor stand.|church-basement scout hall on a weeknight meeting.
Girl Scouts — Cookie Rally|community room with cookie case pyramids, goal-thermometer poster and a decorated troop table|paper banner with print "GIRL SCOUT COOKIE RALLY" and subtitle "Troop 1157"|poster with print "COOKIE GOAL: 1,500 BOXES" and a colored-in thermometer chart|table tent sign with print "THIN MINTS $6"|subject.|table with stacked cookie cases arranged in a pyramid, cash pouch and an order-form clipboard.|community room bulletin wall with badge posters and a troop photo collage.|borough community room set up for a cookie season kickoff.
Scout Camporee / Jamboree Weekend|mown field with canvas wall tents, lashed-pole gateway, troop flags and station signs across the meadow|field gateway banner with print "HAWK MOUNTAIN COUNCIL CAMPOREE" and subtitle "Fall 2024"|carved wooden sign with print "SCOUTCRAFT AREA"|campsite stake sign with print "TROOP 411" and a painted arrowhead|subject.|lashed wooden gateway with rope wraps, camp chairs around a fire ring and dutch ovens on a table.|meadow dotted with canvas wall tents and colorful troop flags, wooded ridge behind.|camporee field at a scout reservation, clear fall morning.
Fast Food Crew Member|fast-food front counter with backlit menu boards, drink station and stainless kitchen line behind|backlit menu board with photo print "COMBO MEALS" and numbered value items|drive-thru window decal with print "NOW HIRING - FLEXIBLE SHIFTS"|wall frame with print "EMPLOYEE OF THE MONTH" and a small photo grid|subject.|front counter with dual registers, straw dispenser and a warming rack of wrapped burgers.|stainless kitchen line with fry station timers and heat lamps, drive-thru headset hub on the wall.|fast-food restaurant counter area during a steady shift.
Supermarket Cashier / Bagger|supermarket checkout lane with belt, aisle signage and weekly-ad posters near the exit|hanging aisle sign with print "AISLE 7 - CEREAL - COFFEE"|lighted lane pole with number print "5" and subtitle "LANE OPEN"|weekly-ad poster with print "REDNER'S WAREHOUSE MARKETS" and subtitle "Fresh Savings Every Day"|subject.|checkout lane with a moving belt, bag carousel and candy rack, a loaded shopping cart waiting.|grocery aisles receding under fluorescent lights, produce section color in the far corner.|regional supermarket checkout area, weekday afternoon.
Amusement Park Ride Crew|amusement park midway with a wooden coaster entrance, height-check board and sweets stand|ride entrance sign with print "COMET - CLASSIC WOODEN COASTER" and a lit arrow border|striped height-check board with print "YOU MUST BE THIS TALL TO RIDE"|food stand menu with print "SWEETS & TREATS" and chocolate bar graphics|subject.|ride queue rails with a shaded canopy, operator podium with a control panel and microphone.|white wooden coaster structure rising over the midway, string pennants between lamp posts.|amusement park midway on a warm summer afternoon.
Movie Theater Usher / Concessions|cinema lobby with a letter-board marquee, poster standees and glowing concession counter|internal marquee letter board with print "NOW SHOWING - IMAX 7:30"|backlit poster frame standee with print "COMING SOON"|concession menu board with print "LARGE POPCORN $9.50 - FREE REFILLS"|subject.|glass concession counter with a popcorn machine glowing warm, candy rows lit from below.|carpeted lobby with poster-lined corridor to the auditoriums, velvet ropes at the ticket stand.|movie theater lobby during an evening showtime rush.
Retail Sales Associate|apparel retail floor with clothing rounders, clearance signage and a fitting-room entrance|suspended department sign with print "WOMEN'S DENIM"|red sale sign on a rack with print "CLEARANCE 40% OFF"|fitting room entry sign with print "6 ITEM LIMIT - WE'RE HAPPY TO HELP"|subject.|clothing rounders and a folding table mid-restock with stacked jeans and a sizing chart card.|fitting room corridor with numbered doors, wall of shelved denim to the ceiling.|big-box apparel department on a weekend shift.
Ice Cream Shop Scooper|small-town ice cream parlor with a dip cabinet, chalkboard flavor menu and window lettering|hand-painted window lettering with print "HOMEMADE ICE CREAM - 24 FLAVORS"|chalkboard menu with print "FLAVOR OF THE WEEK: TEABERRY"|counter card with print "CASH OR VENMO - TIPS APPRECIATED"|subject.|curved glass dip cabinet with tubs of ice cream, scoop rinse well and a cone dispenser tower.|pastel parlor wall with framed retro photos of the shop, ceiling fan turning slowly.|family-run ice cream parlor on a summer evening.
Café Barista|independent main-street café with an espresso machine, pastry case and chalkboard menu wall|wall chalkboard menu with print "LATTE - DRIP - COLD BREW" and prices in chalk|window vinyl with print "LOCALLY ROASTED" in an arch|pastry case card with print "SHOOFLY PIE - BAKED IN BERKS"|subject.|espresso machine with portafilters, milk pitchers on a rail and a pastry case glowing softly.|exposed brick wall with local art for sale, shelf of retail coffee bags with kraft labels.|independent café on a walkable main street, warm morning light.
Office Internship (High-School Intern)|open-plan office suite with glass meeting rooms, sprint whiteboard and reception logo wall|glass entry door vinyl with print "SUITE 300 - MARKETING & DESIGN"|reception wall with dimensional logo print "PENN SQUARE PARTNERS"|whiteboard with print "SPRINT BOARD" and columns of sticky notes|subject.|white desk cluster with dual monitors, a branded notebook and a swivel chair pulled aside.|glass-walled meeting room with people around a table, city window light beyond.|open-plan office suite in a downtown building, mid-morning.
Hospital Junior Volunteer|hospital main lobby with information desk, wayfinding signage and gift shop window|overhead wayfinding sign with print "MAIN LOBBY - GIFT SHOP - ELEVATORS B"|brushed-metal wall lettering with print "READING HOSPITAL" beside a health-system logo|desk sign with print "INFORMATION - VOLUNTEERS ON DUTY"|subject.|curved information desk with a visitor log, hand-sanitizer stand and wheelchair parked alongside.|bright lobby atrium with a gift shop window display and people crossing with visitor stickers.|hospital main lobby, calm and brightly lit.
Public Library Teen Helper|public library floor with tall stacks, a returns cart and summer reading program display|shelf-end sign with print "YOUNG ADULT FICTION"|easel poster with print "SUMMER READING PROGRAM 2025" and subtitle "Sign Up Today"|counter plate with print "RETURNS"|subject.|wooden book cart loaded with returns, spine labels facing out, a scanning station at the desk corner.|tall stacks in warm wood, reading tables with green-shaded lamps, arched library windows.|historic public library main floor, hushed afternoon.
Museum Volunteer / Gallery Guide|museum gallery hall with framed folk art, exhibit plaques and stanchion ropes|gallery entry banner with print "READING PUBLIC MUSEUM" and subtitle "Arboretum - Planetarium - Galleries"|exhibit label plaque with print "PENNSYLVANIA GERMAN FOLK ART"|stanchion sign with print "PLEASE DO NOT TOUCH"|subject.|stanchion ropes guiding past a display case of painted chests and fraktur documents.|high gallery hall with picture rails, skylight diffusers and a marble doorway to the next wing.|classical museum gallery, soft even conservation lighting.
Youth Leadership Summit / Conference|hotel ballroom with round banquet tables, stage lectern, breakout signage and a sponsor backdrop|ballroom entry banner with print "BERKS YOUTH LEADERSHIP SUMMIT" and subtitle "Reading, PA 2025"|session door sign with print "BREAKOUT B: PUBLIC SPEAKING"|step-and-repeat backdrop with sponsor logo print "UNITED WAY OF BERKS COUNTY"|subject.|round banquet tables with notepads, water glasses and centerpiece table numbers.|ballroom stage with a lectern, projection screen showing a title slide, uplights along the walls.|hotel ballroom during a daytime youth conference.
Leadership Camp (College Campus)|college quad with a lawn banner, team flags and a seminar room challenge station|lawn banner between posts with print "LEADERSHIP CAMP 2025" and subtitle "Albright College"|seminar room sign with print "TEAM CHALLENGE 10:30"|team flag with print "GROUP RED" on a short pole|subject.|team-building station with rope rings, wooden planks and a facilitator table of printed instructions.|brick campus buildings around a green quad, students crossing paths under mature trees.|college quad on a bright summer program morning.
Model United Nations Conference|lecture hall set as a general assembly, country placards on desks, dais with committee chairs|dais backdrop with print "BERKS MODEL UNITED NATIONS" and subtitle "General Assembly"|folded country placard with print "DELEGATION OF NORWAY"|agenda board with print "TOPIC: WATER SECURITY" and a speakers list|subject.|tiered desks with folded country placards, open laptops and draft resolution papers.|dais with committee chairs behind name plates, projection screen showing the speakers list.|university lecture hall hosting a model UN committee session.
DECA / FBLA Competition|hotel conference corridor during a state career conference, role-play room signs and a glass-logo backdrop|hotel conference banner with print "STATE CAREER DEVELOPMENT CONFERENCE" and subtitle "Hershey, PA 2025"|role-play room door sign with print "MARKETING - SERIES EVENT" and a judge schedule|photo backdrop with a large diamond logo print "DECA"|subject.|hallway prep chairs with competitors reviewing index cards, a staffed check-in table with time slips.|hotel conference corridor with patterned carpet, sconce lighting and directional totems.|conference hotel corridor between role-play rooms, competition day.
Comic Convention — Volunteer Staff|convention floor with vendor booths, artist alley tables and a halftone photo-op backdrop|concourse banner with print "BERKS COMIC CON" and subtitle "Santander Arena - 2025"|artist alley table sign with print "ARTIST ALLEY - TABLE 42"|photo-op backdrop with comic halftone print "POW!" in a starburst|subject.|vendor booth rows with longboxes of comics, banner stands of poster art and a glass pin case.|arena floor crowded with attendees in colorful costumes, hanging aisle number signs.|arena exhibition floor during a pop-culture convention.
Gaming LAN Party|community hall with long tables of gaming PCs, RGB glow, projector bracket screen and energy drink sponsor banner|projector screen with bracket print "BERKS LAN - ROUND OF 16"|table tent with print "STATION 12"|sponsor banner with print "GAME FUEL" and a lightning-bolt logo|subject.|long trestle tables of tower PCs and curved monitors, tangled headset cables and mechanical keyboards glowing.|darkened hall with RGB case lighting, a projector screen with a tournament bracket, pizza box stack.|community hall converted into an overnight LAN venue, dim with colored glow.
Esports Tournament — Stage Finals|esports stage with player pods, LED wall, caster desk and team banners|stage LED wall with print "READING ESPORTS INVITATIONAL" and subtitle "Grand Finals"|player pod sign with print "TEAM BERKS BLUE"|caster desk front panel with glowing print "LIVE"|subject.|player pod with a tournament PC, branded chair and a small flag of the team color.|LED wall washing the stage in blue, caster desk silhouettes and audience seating in the dark.|esports arena stage under show lighting.
Family Reunion at the Park|county park pavilion with picnic tables, dessert table, yard games and a family banner|pavilion beam banner with print "MILLER FAMILY REUNION 2025" and subtitle "Gring's Mill Park"|picnic table tent sign with print "DESSERTS HERE"|staked yard sign with print "WELCOME COUSINS!"|subject.|picnic tables with gingham covers, foil trays over warmers and a dessert table with a sheet cake.|stone-and-timber park pavilion opening to a creekside lawn with cornhole boards.|county park pavilion on a warm family sunday.
Wedding — Guest Services Helper|castle-style wedding venue terrace with welcome easel, seating chart mirror and garden ceremony signage|welcome easel with calligraphy print "The Wedding of Emma & Jake - June 14, 2025"|ornate mirror seating chart with painted print "FIND YOUR SEAT"|wooden directional sign with print "CEREMONY GARDEN" and a carved arrow|subject.|welcome table with a guestbook, pen stand, favor boxes stacked in neat rows.|stone castle-style venue facade with ivy, string lights over a terrace of cocktail tables.|historic stone venue terrace before the ceremony, golden hour.
